no,parkingPlaceName,maxParking,avilableParking,dateAndTime,temperature
1,DDP동측(양쪽),20,20,2020-11-02 00,10
2,웃우물공영,79,13,2020-11-02 00,10
3,가양라이품,38,33,2020-11-02 00,10
4,개화산역주차장,322,183,2020-11-02 00,10
5,개화역,483,363,2020-11-02 00,10
6,구로디지털단지역,92,68,2020-11-02 00,10
7,구파발역,399,362,2020-11-02 00,10
8,장안2동,80,23,2020-11-02 00,10
9,동대문공영주차장,1092,395,2020-11-02 00,10
10,마포유수지주차장,505,345,2020-11-02 00,10
11,복정역공영주차장,363,260,2020-11-02 00,10
12,사당노외,184,93,2020-11-02 00,10
13,서린노외주차장,38,34,2020-11-02 00,10
14,세종로,1260,1089,2020-11-02 00,10
15,수락산역,157,123,2020-11-02 00,10
16,수서역남,18,10,2020-11-02 00,10
17,수서역북주차장,553,448,2020-11-02 00,10
18,신대방역,60,29,2020-11-02 00,10
19,신방화역,199,75,2020-11-02 00,10
20,신천유수지주차장,164,186,2020-11-02 00,10
21,영등포구청역,137,83,2020-11-02 00,10
22,용산주차빌딩,561,409,2020-11-02 00,10
23,잠실역주차장,346,313,2020-11-02 00,10
24,적선노외,11,6,2020-11-02 00,10
25,종묘,1317,945,2020-11-02 00,10
26,천왕역,328,255,2020-11-02 00,10
27,천호역,1432,714,2020-11-02 00,10
28,학여울역,180,131,2020-11-02 00,10
29,한강진역,176,131,2020-11-02 00,10
30,화랑대역주차장,319,285,2020-11-02 00,10
31,훈련원공원,873,667,2020-11-02 00,10
1,DDP동측(양쪽),20,20,2020-11-02 01,10
2,웃우물공영,79,15,2020-11-02 01,10
3,가양라이품,38,33,2020-11-02 01,10
4,개화산역주차장,322,182,2020-11-02 01,10
5,개화역,483,366,2020-11-02 01,10
6,구로디지털단지역,92,69,2020-11-02 01,10
7,구파발역,399,365,2020-11-02 01,10
8,장안2동,80,23,2020-11-02 01,10
9,동대문공영주차장,1092,392,2020-11-02 01,10
10,마포유수지주차장,505,346,2020-11-02 01,10
11,복정역공영주차장,363,260,2020-11-02 01,10
12,사당노외,184,96,2020-11-02 01,10
13,서린노외주차장,38,34,2020-11-02 01,10
14,세종로,1260,1092,2020-11-02 01,10
15,수락산역,157,124,2020-11-02 01,10
16,수서역남,18,10,2020-11-02 01,10
17,수서역북주차장,553,444,2020-11-02 01,10
18,신대방역,60,27,2020-11-02 01,10
19,신방화역,199,75,2020-11-02 01,10
20,신천유수지주차장,164,186,2020-11-02 01,10
21,영등포구청역,137,81,2020-11-02 01,10
22,용산주차빌딩,561,409,2020-11-02 01,10
23,잠실역주차장,346,313,2020-11-02 01,10
24,적선노외,11,6,2020-11-02 01,10
25,종묘,1317,946,2020-11-02 01,10
26,천왕역,328,256,2020-11-02 01,10
27,천호역,1432,734,2020-11-02 01,10
28,학여울역,180,131,2020-11-02 01,10
29,한강진역,176,132,2020-11-02 01,10
30,화랑대역주차장,319,286,2020-11-02 01,10
31,훈련원공원,873,670,2020-11-02 01,10
1,DDP동측(양쪽),20,20,2020-11-02 02,10
2,웃우물공영,79,17,2020-11-02 02,10
3,가양라이품,38,33,2020-11-02 02,10
4,개화산역주차장,322,181,2020-11-02 02,10
5,개화역,483,366,2020-11-02 02,10
6,구로디지털단지역,92,71,2020-11-02 02,10
7,구파발역,399,365,2020-11-02 02,10
8,장안2동,80,23,2020-11-02 02,10
9,동대문공영주차장,1092,456,2020-11-02 02,10
10,마포유수지주차장,505,344,2020-11-02 02,10
11,복정역공영주차장,363,261,2020-11-02 02,10
12,사당노외,184,97,2020-11-02 02,10
13,서린노외주차장,38,34,2020-11-02 02,10
14,세종로,1260,1093,2020-11-02 02,10
15,수락산역,157,123,2020-11-02 02,10
16,수서역남,18,11,2020-11-02 02,10
17,수서역북주차장,553,442,2020-11-02 02,10
18,신대방역,60,29,2020-11-02 02,10
19,신방화역,199,75,2020-11-02 02,10
20,신천유수지주차장,164,187,2020-11-02 02,10
21,영등포구청역,137,81,2020-11-02 02,10
22,용산주차빌딩,561,406,2020-11-02 02,10
23,잠실역주차장,346,313,2020-11-02 02,10
24,적선노외,11,6,2020-11-02 02,10
25,종묘,1317,946,2020-11-02 02,10
26,천왕역,328,255,2020-11-02 02,10
27,천호역,1432,736,2020-11-02 02,10
28,학여울역,180,131,2020-11-02 02,10
29,한강진역,176,133,2020-11-02 02,10
30,화랑대역주차장,319,286,2020-11-02 02,10
31,훈련원공원,873,671,2020-11-02 02,10
