no,parkingPlaceName,maxParking,avilableParking,dateAndTime,temperature
1,DDP동측(양쪽),20,20,2020-09-20 16,24
2,웃우물공영,79,2,2020-09-20 16,24
3,가양라이품,38,32,2020-09-20 16,24
4,개화산역주차장,322,232,2020-09-20 16,24
5,개화역,483,307,2020-09-20 16,24
6,구로디지털단지역,92,46,2020-09-20 16,24
7,구파발역,399,310,2020-09-20 16,24
8,장안2동,80,27,2020-09-20 16,24
9,동대문공영주차장,1092,1052,2020-09-20 16,24
10,마포유수지주차장,505,313,2020-09-20 16,24
11,복정역공영주차장,363,255,2020-09-20 16,24
12,사당노외,184,91,2020-09-20 16,24
13,서린노외주차장,38,34,2020-09-20 16,24
14,세종로,1260,1010,2020-09-20 16,24
15,수락산역,157,80,2020-09-20 16,24
16,수서역남,18,11,2020-09-20 16,24
17,수서역북주차장,553,484,2020-09-20 16,24
18,신대방역,60,23,2020-09-20 16,24
19,신방화역,199,79,2020-09-20 16,24
20,신천유수지주차장,164,184,2020-09-20 16,24
21,영등포구청역,137,82,2020-09-20 16,24
22,용산주차빌딩,561,396,2020-09-20 16,24
23,잠실역주차장,346,36,2020-09-20 16,24
24,적선노외,28,5,2020-09-20 16,24
25,종묘,1317,820,2020-09-20 16,24
26,천왕역,328,265,2020-09-20 16,24
27,천호역,1432,694,2020-09-20 16,24
28,학여울역,180,135,2020-09-20 16,24
29,한강진역,176,5,2020-09-20 16,24
30,화랑대역주차장,319,229,2020-09-20 16,24
31,훈련원공원,873,675,2020-09-20 16,24
1,DDP동측(양쪽),20,20,2020-09-20 17,24
2,웃우물공영,79,3,2020-09-20 17,24
3,가양라이품,38,32,2020-09-20 17,24
4,개화산역주차장,322,241,2020-09-20 17,24
5,개화역,483,310,2020-09-20 17,24
6,구로디지털단지역,92,53,2020-09-20 17,24
7,구파발역,399,318,2020-09-20 17,24
8,장안2동,80,28,2020-09-20 17,24
9,동대문공영주차장,1092,1061,2020-09-20 17,24
10,마포유수지주차장,505,307,2020-09-20 17,24
11,복정역공영주차장,363,257,2020-09-20 17,24
12,사당노외,184,87,2020-09-20 17,24
13,서린노외주차장,38,34,2020-09-20 17,24
14,세종로,1260,1016,2020-09-20 17,24
15,수락산역,157,83,2020-09-20 17,24
16,수서역남,18,13,2020-09-20 17,24
17,수서역북주차장,553,484,2020-09-20 17,24
18,신대방역,60,16,2020-09-20 17,24
19,신방화역,199,83,2020-09-20 17,24
20,신천유수지주차장,164,184,2020-09-20 17,24
21,영등포구청역,137,82,2020-09-20 17,24
22,용산주차빌딩,561,398,2020-09-20 17,24
23,잠실역주차장,346,30,2020-09-20 17,24
24,적선노외,28,7,2020-09-20 17,24
25,종묘,1317,854,2020-09-20 17,24
26,천왕역,328,269,2020-09-20 17,24
27,천호역,1432,677,2020-09-20 17,24
28,학여울역,180,134,2020-09-20 17,24
29,한강진역,176,0,2020-09-20 17,24
30,화랑대역주차장,319,239,2020-09-20 17,24
31,훈련원공원,873,678,2020-09-20 17,24
1,DDP동측(양쪽),20,20,2020-09-20 18,23
2,웃우물공영,79,5,2020-09-20 18,23
3,가양라이품,38,32,2020-09-20 18,23
4,개화산역주차장,322,245,2020-09-20 18,23
5,개화역,483,315,2020-09-20 18,23
6,구로디지털단지역,92,53,2020-09-20 18,23
7,구파발역,399,321,2020-09-20 18,23
8,장안2동,80,29,2020-09-20 18,23
9,동대문공영주차장,1092,1066,2020-09-20 18,23
10,마포유수지주차장,505,301,2020-09-20 18,23
11,복정역공영주차장,363,257,2020-09-20 18,23
12,사당노외,184,90,2020-09-20 18,23
13,서린노외주차장,38,34,2020-09-20 18,23
14,세종로,1260,1024,2020-09-20 18,23
15,수락산역,157,98,2020-09-20 18,23
16,수서역남,18,13,2020-09-20 18,23
17,수서역북주차장,553,486,2020-09-20 18,23
18,신대방역,60,15,2020-09-20 18,23
19,신방화역,199,80,2020-09-20 18,23
20,신천유수지주차장,164,183,2020-09-20 18,23
21,영등포구청역,137,79,2020-09-20 18,23
22,용산주차빌딩,561,399,2020-09-20 18,23
23,잠실역주차장,346,53,2020-09-20 18,23
24,적선노외,28,7,2020-09-20 18,23
25,종묘,1317,887,2020-09-20 18,23
26,천왕역,328,270,2020-09-20 18,23
27,천호역,1432,690,2020-09-20 18,23
28,학여울역,180,133,2020-09-20 18,23
29,한강진역,176,9,2020-09-20 18,23
30,화랑대역주차장,319,250,2020-09-20 18,23
31,훈련원공원,873,676,2020-09-20 18,23
1,DDP동측(양쪽),20,20,2020-09-20 19,22
2,웃우물공영,79,7,2020-09-20 19,22
3,가양라이품,38,32,2020-09-20 19,22
4,개화산역주차장,322,253,2020-09-20 19,22
5,개화역,483,323,2020-09-20 19,22
6,구로디지털단지역,92,46,2020-09-20 19,22
7,구파발역,399,325,2020-09-20 19,22
8,장안2동,80,30,2020-09-20 19,22
9,동대문공영주차장,1092,1055,2020-09-20 19,22
10,마포유수지주차장,505,301,2020-09-20 19,22
11,복정역공영주차장,363,257,2020-09-20 19,22
12,사당노외,184,95,2020-09-20 19,22
13,서린노외주차장,38,34,2020-09-20 19,22
14,세종로,1260,1049,2020-09-20 19,22
15,수락산역,157,105,2020-09-20 19,22
16,수서역남,18,13,2020-09-20 19,22
17,수서역북주차장,553,492,2020-09-20 19,22
18,신대방역,60,19,2020-09-20 19,22
19,신방화역,199,78,2020-09-20 19,22
20,신천유수지주차장,164,184,2020-09-20 19,22
21,영등포구청역,137,73,2020-09-20 19,22
22,용산주차빌딩,561,394,2020-09-20 19,22
23,잠실역주차장,346,61,2020-09-20 19,22
24,적선노외,28,13,2020-09-20 19,22
25,종묘,1317,920,2020-09-20 19,22
26,천왕역,328,275,2020-09-20 19,22
27,천호역,1432,682,2020-09-20 19,22
28,학여울역,180,136,2020-09-20 19,22
